"submission_id","post_id","participant_id","severity","confidence","in_group","honey","copied","time_taken","created_at"
"68d8b7fa8ac0bd9a332c132f","hnck1m","6722a197cc0c3f9ed2aa5110","2","high","false","false","false","11","2025-09-28 05:17:05.757752+00"
"68d8b7fa8ac0bd9a332c132f","q5h8ab","6722a197cc0c3f9ed2aa5110","1","high","false","false","false","83","2025-09-28 05:17:05.741759+00"
"68d8b7fa8ac0bd9a332c132f","lvko2b","6722a197cc0c3f9ed2aa5110","2","high","false","false","false","8","2025-09-28 05:17:05.760072+00"
"68d8b7fa8ac0bd9a332c132f","tgsofo","6722a197cc0c3f9ed2aa5110","1","high","false","false","false","52","2025-09-28 05:17:05.809007+00"
"68d8b7fa8ac0bd9a332c132f","cciv7z","6722a197cc0c3f9ed2aa5110","3","high","false","true","false","18","2025-09-28 05:17:05.751176+00"
"68d8b7fa8ac0bd9a332c132f","sps84z","6722a197cc0c3f9ed2aa5110","1","high","false","true","false","11","2025-09-28 05:17:06.289748+00"
"68d8b7fa8ac0bd9a332c132f","89tvlm","6722a197cc0c3f9ed2aa5110","1","high","false","false","false","27","2025-09-28 05:17:06.294829+00"
"68d8b7fa8ac0bd9a332c132f","fkk6wt","6722a197cc0c3f9ed2aa5110","1","high","false","false","false","13","2025-09-28 05:17:06.295072+00"
"68d8b7fa8ac0bd9a332c132f","vw2zmq","6722a197cc0c3f9ed2aa5110","2","high","false","false","false","11","2025-09-28 05:17:06.301036+00"
"68d8b7fa8ac0bd9a332c132f","tju872","6722a197cc0c3f9ed2aa5110","1","high","false","false","false","15","2025-09-28 05:17:06.300813+00"
"68d8b7fa8ac0bd9a332c132f","1d1f9io","6722a197cc0c3f9ed2aa5110","4","high","false","false","false","396","2025-09-28 05:17:06.304438+00"
"68d8b7fa8ac0bd9a332c132f","qmdx5c","6722a197cc0c3f9ed2aa5110","2","high","false","false","false","133","2025-09-28 05:17:06.306268+00"
"68d8b7fa8ac0bd9a332c132f","b1jqxn","6722a197cc0c3f9ed2aa5110","2","high","false","false","false","14","2025-09-28 05:17:06.365008+00"
"68d8b7fa8ac0bd9a332c132f","q9zpk9","6722a197cc0c3f9ed2aa5110","2","high","false","false","false","13","2025-09-28 05:17:06.369746+00"
"68d94f3f1ad89b7c5a4ea850","qw57nz","60c80c19de11452191e78dd5","1","high","false","false","false","50","2025-09-28 15:41:37.386562+00"
"68d94f3f1ad89b7c5a4ea850","94fypq","60c80c19de11452191e78dd5","2","high","false","true","false","56","2025-09-28 15:41:37.396183+00"
"68d94f3f1ad89b7c5a4ea850","1cejegv","60c80c19de11452191e78dd5","2","low","false","false","false","43","2025-09-28 15:41:37.415567+00"
"68d94f3f1ad89b7c5a4ea850","fcn8bl","60c80c19de11452191e78dd5","2","high","false","false","false","37","2025-09-28 15:41:37.423466+00"
"68d94f3f1ad89b7c5a4ea850","1dd9yoy","60c80c19de11452191e78dd5","4","low","false","false","false","52","2025-09-28 15:41:37.429702+00"
"68d94f3f1ad89b7c5a4ea850","8cnbln","60c80c19de11452191e78dd5","2","high","false","false","false","25","2025-09-28 15:41:37.433104+00"
"68d94f3f1ad89b7c5a4ea850","sd17gv","60c80c19de11452191e78dd5","0","high","false","false","false","19","2025-09-28 15:41:37.413225+00"
"68d94f3f1ad89b7c5a4ea850","nvy6sz","60c80c19de11452191e78dd5","2","high","false","false","false","39","2025-09-28 15:41:37.435518+00"
"68d94f3f1ad89b7c5a4ea850","1cadx7i","60c80c19de11452191e78dd5","2","low","false","false","false","38","2025-09-28 15:41:37.438686+00"
"68d94f3f1ad89b7c5a4ea850","b1jqxn","60c80c19de11452191e78dd5","0","high","false","false","false","37","2025-09-28 15:41:37.423907+00"
"68d94f3f1ad89b7c5a4ea850","183jtoi","60c80c19de11452191e78dd5","2","high","false","false","false","52","2025-09-28 15:41:37.438773+00"
"68d94f3f1ad89b7c5a4ea850","18j1n2h","60c80c19de11452191e78dd5","2","high","false","false","false","16","2025-09-28 15:41:37.44218+00"
"68d94f3f1ad89b7c5a4ea850","vlivj7","60c80c19de11452191e78dd5","1","high","false","false","false","69","2025-09-28 15:41:37.442272+00"
"68d94f3f1ad89b7c5a4ea850","18zs1py","60c80c19de11452191e78dd5","4","high","false","false","false","59","2025-09-28 15:41:37.446785+00"
"68d94f3f1ad89b7c5a4ea850","1dnps39","60c80c19de11452191e78dd5","2","high","false","false","false","32","2025-09-28 15:41:37.447016+00"
"68d94f3f1ad89b7c5a4ea850","sps84z","60c80c19de11452191e78dd5","2","high","false","true","false","0","2025-09-28 15:41:37.447983+00"
"68d94f3f1ad89b7c5a4ea850","vzrkxy","60c80c19de11452191e78dd5","4","high","false","false","false","34","2025-09-28 15:41:37.449102+00"
"68d94f3f1ad89b7c5a4ea850","yidddq","60c80c19de11452191e78dd5","2","low","false","false","false","22","2025-09-28 15:41:37.449964+00"
"68d94f3f1ad89b7c5a4ea850","ljldlp","60c80c19de11452191e78dd5","2","high","false","false","false","62","2025-09-28 15:41:37.437496+00"
"68d94f3f1ad89b7c5a4ea850","q5h8ab","60c80c19de11452191e78dd5","0","high","false","false","false","20","2025-09-28 15:41:37.452355+00"
"68d94f3f1ad89b7c5a4ea850","8x40hj","60c80c19de11452191e78dd5","2","high","false","false","false","62","2025-09-28 15:41:37.461004+00"
"68dad26087dce85788a15d5c","cciv7z","610508c09d61c098f072605b","3","high","false","true","false","35","2025-09-29 19:13:13.212339+00"
"68dad26087dce85788a15d5c","sps84z","610508c09d61c098f072605b","3","high","false","true","false","67","2025-09-29 19:13:13.214682+00"
"68dad26087dce85788a15d5c","94fypq","610508c09d61c098f072605b","4","high","false","true","false","96","2025-09-29 19:13:13.219387+00"
"68dad2f93fadf462d267e3b0","1fg6xlw","63653f82b4f4413845936b75","1","high","true","false","false","35","2025-09-29 19:16:48.594225+00"
"68dad2f93fadf462d267e3b0","x009qs","63653f82b4f4413845936b75","2","high","true","false","false","43","2025-09-29 19:16:48.601624+00"
"68dad2f93fadf462d267e3b0","zs5fdt","63653f82b4f4413845936b75","2","low","true","false","false","47","2025-09-29 19:16:48.609939+00"
"68dad2f93fadf462d267e3b0","hr1sjd","63653f82b4f4413845936b75","2","low","true","false","false","15","2025-09-29 19:16:48.615284+00"
"68dad2f93fadf462d267e3b0","9a9yeh","63653f82b4f4413845936b75","2","high","true","false","false","34","2025-09-29 19:16:48.619666+00"
